quarter,ticker,margin_bn,source_id
Q4/2024,DSE,3785.0,M1.1
Q4/2024,SSI,21999.0,M1.2
Q4/2024,VND,10344.0,M1.2
Q4/2024,HCM,20429.0,M1.2
Q4/2024,VCI,11222.0,M1.2
Q4/2024,MBS,10294.0,M1.2
Q2/2025,DSE,4835.0,M2.1
Q2/2025,SSI,33134.0,M2.2
Q2/2025,VND,10644.0,M2.2
Q2/2025,HCM,19813.0,M2.2
Q2/2025,VCI,11307.0,M2.2
Q2/2025,MBS,12796.0,M2.2
Q4/2025,DSE,5832.0,M3.1
Q4/2025,SSI,38616.0,M3.2
Q4/2025,VND,13647.0,M3.2
Q4/2025,HCM,28150.0,M3.2
Q4/2025,VCI,16167.0,M3.2
Q4/2025,MBS,14517.0,M3.2
Q2/2026,DSE,6303.0,M4.1
Q2/2026,SSI,40036.58,M4.2
Q2/2026,VND,12663.0,M4.2
Q2/2026,HCM,29023.52,M4.2
Q2/2026,VCI,16646.46,M4.2
Q2/2026,MBS,16670.4,M4.2
